SA2_NAME,2025-03-31,2025-06-30,2025-09-30,2025-12-31,2026-03-31,2026-06-30,2026-09-30,2026-12-31,2027-03-31,2027-06-30,2027-09-30,2027-12-31
Geelong,394.0187,398.6049,395.29987,398.19812,400.0173,401.66153,404.0912,407.42743,401.5227,402.0506,403.1241,403.5683
Greensborough,390.37827,394.81082,391.31097,393.9798,395.54688,396.92383,399.0788,402.14075,395.94836,396.21545,397.04175,397.35593
Hampton,389.05145,393.42886,389.85635,392.44153,393.9165,395.19574,397.2506,400.21292,393.91428,394.08566,394.82135,395.08768
Heidelberg West,391.26855,395.73724,392.28232,395.00458,396.6303,398.0695,400.2887,403.41534,397.28925,397.61713,398.5011,398.8457
Hughesdale,391.34387,395.81537,392.36786,395.09595,396.72858,398.17496,400.401,403.5335,397.41806,397.75327,398.64395,398.9921
Ivanhoe,386.53433,390.80396,387.10065,389.52725,390.82883,391.92422,393.7892,396.55997,390.07153,390.064,390.62933,390.80533
Keilor,391.48303,395.9611,392.5195,395.25647,396.8986,398.35513,400.5919,403.73584,397.62924,397.97412,398.87418,399.22723
Keilor East,390.79507,395.24445,391.76605,394.46005,396.0549,397.46127,399.64664,402.7392,396.57846,396.87436,397.728,398.05658
Lara,389.89236,394.30872,390.77182,393.40933,394.9403,396.27902,398.397,401.42563,395.1797,395.40787,396.19852,396.4939
Maffra,402.73108,407.66742,404.8422,408.27695,410.6894,412.96213,416.03064,419.99347,414.80673,415.94662,417.59402,418.333
Malvern East,390.8023,395.2517,391.77258,394.46613,396.06036,397.46613,399.65088,402.74295,396.58112,396.87634,397.7293,398.05762
Melton,394.02704,398.60992,395.305,398.19992,400.016,401.657,404.08286,407.41492,401.5105,402.03577,403.10635,403.54892
Mentone,392.36392,396.8785,393.48672,396.27975,397.9837,399.5058,401.80945,405.01917,398.98584,399.395,400.35568,400.74066
Moonee Ponds,390.64743,395.0904,391.60352,394.2877,395.87164,397.26648,399.43988,402.52054,396.34738,396.632,397.47485,397.79782
Morwell,398.03937,402.79208,399.70764,402.85837,404.95596,406.8953,409.6263,413.2602,407.6844,408.50003,409.84476,410.4298
Mulgrave,391.1136,395.57654,392.11432,394.82812,396.44458,397.87393,400.08298,403.1995,397.06262,397.3808,398.25568,398.59546
Murrumbeena,392.1148,396.6179,393.20966,395.98453,397.66846,399.16937,401.45148,404.64053,398.58316,398.97153,399.91263,400.2873
Newport,390.04285,394.46152,390.94168,393.58865,395.13153,396.48276,398.6117,401.6481,395.4266,395.66837,396.4709,396.7725
North Melbourne,392.5048,397.02438,393.63892,396.43927,398.15137,399.6821,401.99466,405.2135,399.18954,399.6072,400.5759,400.96506
Nunawading,390.8637,395.316,391.83862,394.5357,396.1336,397.54324,399.73227,402.82907,396.67,396.96887,397.8255,398.15567
Oak Park,391.79105,396.28162,392.85703,395.61313,397.2763,398.75516,401.01468,404.181,398.09943,398.4662,399.3869,399.75082
Ocean Grove,392.8691,397.40982,394.0372,396.8637,398.60318,400.16318,402.50797,405.76224,399.7583,400.2032,401.19894,401.60217
Parkville,391.58618,396.06824,392.63263,395.37592,397.025,398.4889,400.73312,403.88422,397.78632,398.1385,399.04538,399.40204
Pascoe Vale,390.39374,394.8268,391.32608,393.9949,395.56192,396.93872,399.0938,402.1563,395.9627,396.22955,397.05576,397.36987
Pascoe Vale South,390.67966,395.12436,391.63998,394.3269,395.9139,397.31198,399.4887,402.5725,396.40286,396.69058,397.5365,397.86102
Port Melbourne,389.9023,394.3154,390.78824,393.42682,394.96042,396.3019,398.4208,401.44724,395.21506,395.44724,396.24063,396.53745
Portland,408.6679,413.8223,411.34604,415.1357,417.94647,420.64075,424.1298,428.4919,423.82983,425.376,427.39658,428.3163
Ringwood,389.75772,394.16373,390.62762,393.25555,394.77753,396.1066,398.21277,401.22662,394.98135,395.2015,395.9835,396.2742
Sale,399.545,404.36243,401.36288,404.6117,406.81738,408.8713,411.71933,415.46805,410.01965,410.94635,412.3957,413.0344
Seymour,396.58875,401.28226,398.1171,401.17715,403.17453,405.0077,407.63065,411.15842,405.46207,406.1742,407.4216,407.95636
South Melbourne,392.8307,397.36407,393.99695,396.81833,398.55362,400.1089,402.4466,405.69034,399.69348,400.13513,401.12656,401.52765
Springvale,393.0407,397.58228,394.22592,397.0596,398.80847,400.37823,402.73065,405.98917,400.00827,400.46405,401.4688,401.8769
Sunbury,390.56482,395.0065,391.50815,394.18613,395.76227,397.14893,399.31537,402.39133,396.20175,396.47748,397.31265,397.63156
Sunshine,389.67188,394.07474,390.53357,393.1563,394.67245,395.99542,398.09537,401.10324,394.8506,395.06458,395.84082,396.12854
Swan Hill,402.58685,407.53253,404.68958,408.12744,410.54065,412.8149,415.88956,419.86404,414.65433,415.79333,417.44308,418.18304
Templestowe,386.59586,390.86993,387.1618,389.59048,390.89322,391.9899,393.8576,396.63367,390.13837,390.13107,390.6973,390.8738
Thomastown,392.54907,397.07065,393.68723,396.4904,398.2055,399.7394,402.05533,405.27765,399.25687,399.67758,400.64926,401.03998
Thornbury,391.74432,396.23254,392.8043,395.55652,397.21542,398.6898,400.94482,404.10693,398.02005,398.3824,399.29892,399.66068
Toorak,387.46475,391.7752,388.1174,390.6023,391.9671,393.12955,395.0643,397.90637,391.48367,391.54095,392.1683,392.3772
Torquay,390.17966,394.61188,391.09518,393.75702,395.3147,396.68176,398.82892,401.8863,395.66983,395.92548,396.7424,397.05164
Tullamarine,391.9731,396.47144,393.05798,395.82632,397.5031,398.9964,401.2706,404.45132,398.38608,398.76703,399.7011,400.07202
Vermont,390.5853,395.02582,391.53754,394.2189,395.79996,397.1917,399.36172,402.4386,396.2632,396.54492,397.38498,397.7064
Wantirna,391.4317,395.90698,392.46423,395.19803,396.8369,398.29,400.52292,403.6624,397.55405,397.89575,398.79266,399.144
Warragul,392.07922,396.5894,393.17322,395.95187,397.63806,399.14133,401.42816,404.62488,398.55624,398.94516,399.8883,400.2641
Whittlesea,377.49377,381.37085,377.14044,378.96555,379.60535,380.00015,381.14822,383.20773,375.97675,375.28546,375.2011,375.03247
Williamstown,391.28317,395.75336,392.30206,395.02744,396.65674,398.09964,400.32233,403.45184,397.3308,397.66238,398.5498,398.89618
Wodonga,404.3389,409.34387,406.60187,410.1373,412.66025,415.0501,418.23886,422.3207,417.26108,418.5131,420.26608,421.0578
Yarraville,389.95853,394.37326,390.85046,393.49246,395.03006,396.37573,398.4986,401.52853,395.3026,395.53912,396.33643,396.6353
